id,问题,文档,相关页,Hit@1,Hit@2,Hit@3,"检索top1(文件-页,得分)",检索top2,检索top3,模型回答
Q011,公司的回避政策是什么？,员工手册 v2.2.pdf,手册-P07,1,1,1,手册-P06(0.51),手册-P32(0.51),纪律-P04(0.50),公司的回避政策规定在员工手册第2.1.3条，具体内容如下 [1]：  1. **禁止录用亲友到直接/间接管理的部门**：任何人不得录用自己的亲友在自己直接或间接管理的部门工作；有亲友关系的也不得在有利益相关的部门工作（例如财务部门与销售部门）。  2. **违规后果**：任何人违背此政策，公司将不承认与被录用者的劳动关系，由此引起的一切后果由违规者承担 [1]。
Q012,公司全职员工的合同期和试用期是多长？,员工手册 v2.2.pdf,手册-P08,1,1,1,手册-P08(0.54),手册-P02(0.47),手册-P12(0.42),根据公司规定，全职员工的合同期为 **3 年**，试用期最长不超过 **6 个月** [1]。
Q013,试用期员工请假超过几天，试用期需要顺延？,员工手册 v2.2.pdf,手册-P09,1,1,1,手册-P08(0.58),手册-P18(0.57),手册-P34(0.54),试用期员工请假超过 **5 天**的，其试用期应顺延请假时间的天数 [1]。
Q014,员工主动离职需要提前多久提出申请？,员工手册 v2.2.pdf,手册-P09,0,1,1,手册-P10(0.57),手册-P08(0.55),手册-P12(0.52),根据员工手册规定，主动离职（辞职）的申请时间要求如下：  - **试用期内员工**：应提前 **3 天**提出离职申请； - **非试用期（正式）员工**：需提前 **30 天**提出离职申请。  离职申请须由员工本人向部门经理及以上级别主管和人力资源部以书面或钉钉形式提出，并须与部门主管、人力资源部工作人员共同确认最后工作日 [1]。
Q015,公司可以单方解除劳动合同的情形有哪些？,员工手册 v2.2.pdf,手册-P09,0,0,0,手册-P03(0.52),纪律-P04(0.51),纪律-P01(0.51),根据纪律处罚条例，公司可不经预告解除劳动合同（辞退）的严重违纪情形包括 [2]：  1. 累计3个月每月迟到5次及以上，收到3份书面警告的； 2. 与他人发生肢体冲突（包括殴打他人、互相殴打、挑拨打架等）； 3. 任何诋毁公司的言论或行为； 4. 违反公司规定或保管不当，造成公司设备及网络不能正常运营的； 5. 侵占公司财物或获取非正当利益（包括收受贿赂、回扣等）； 6. 伪造或提供虚假材料、记录、单据、票据、发票、证明（含虚假病休证明）等； 7. 未经允许或违反保密规定，泄露公司商业秘密（技术、经营、管理信息等）； 8. 不执行或抵制公司或主管安排的正当工作； 9. 擅离工作岗位，带来事故隐患、发生事故或造成损失； 10. 偷窃、涂改或伪造公司印章、档案、资料、原始凭证、原始记录或重要文件； 11. 合同期内与其他单位形成劳动关系，严重影响本单位工作任务完成，或经公司提出拒不改正的； 12. 违反制度、政策导致20000元（含）以上损失； 13. 因过错或失职造成人员伤害或财物损失价值20000元（含）以上； 14. 合同期内累计旷工三次； 15. 经查实有偷盗、性骚扰行为，或擅自将不属于自己的财物拿出工作场所； 16. 工作时间或工作场所内赌博、做博彩性游戏； 17. 饮用含酒精饮品或服用禁品后在工作场所滋事； 18. 携带危险物品、行凶器械或违禁品进入工作场所，造成损害或带来危险隐患； 19. 违法犯罪，被依法追究刑事责任或被行政拘留； 20. 受到最终警告后再受任何警告处分的； 21. 其他管理政策及法律法规规定的相关情形。  上述情形经查实后，公司可立即辞退且不支付任何经济补偿，同时保留追究经济赔偿的权利 [2]。任何辞退处罚决定均需由直接上级和人力资源部共同审核、总经理批准 [2]。
Q016,员工离职后应在多少天内办理社会保险转移？,员工手册 v2.2.pdf,手册-P11,1,1,1,手册-P10(0.56),手册-P02(0.45),手册-P22(0.45),员工离职后，须在 **15 天内** 办理社会保险的转移工作 [1]。
Q017,离职工资最迟什么时候支付？,员工手册 v2.2.pdf,手册-P11,1,1,1,手册-P10(0.61),手册-P02(0.55),手册-P22(0.54),根据规定，《员工离职申请》需按审批单要求逐个审批确认后进行工资结算，离职工资最迟在**次月最后一个工作日**支付 [1]。
Q018,员工与公司发生劳动争议如何解决？,员工手册 v2.2.pdf,手册-P11,0,0,1,纪律-P04(0.45),手册-P12(0.41),手册-P10(0.41),根据公司制度，员工与公司发生劳动争议的解决途径如下 [2]：  1. **协商解决**：首先应报人力资源部协商解决。 2. **申请仲裁**：如协商不能解决，可向有管辖权的劳动争议仲裁委员会申请仲裁。 3. **提起诉讼**：任何一方对裁决不服的，可向人民法院提起诉讼。
Q019,试用期评估结果须在何时递交人力资源部？,员工手册 v2.2.pdf,手册-P08,1,1,1,手册-P08(0.65),绩效-P03(0.64),手册-P22(0.57),试用期评估结果须在新员工试用期结束前 3 天递交人力资源部，由人力资源部经理、总经理进行审核，审核结果由人力资源部归档 [1]。
Q020,公司规定的标准工作时间是多少？,员工手册 v2.2.pdf,手册-P11,0,0,0,手册-P12(0.61),手册-P22(0.59),手册-P34(0.56),根据员工手册的修订记录，自 2024 年 5 月 30 日起（V2.0 版本），公司工作时间由每天 7.5 小时改为 **每天 8 小时** [1]。  需要说明的是，提供的上下文中未包含具体的每日上下班时间（如几点到几点）及每周工作安排的详细规定，如需了解具体作息时间点，建议查阅员工手册中关于工作时间的完整章节或咨询人力资源部。
Q021,员工每天上下班须打几次卡？,员工手册 v2.2.pdf,手册-P11,0,0,0,手册-P12(0.66),手册-P02(0.61),手册-P22(0.60),"根据提供的上下文，其中并未包含《3.2 刷卡规定》的具体内容，因此无法直接确认每天须打卡几次 [1]。  不过按照一般考勤惯例，通常员工每天需打卡 **2 次**：上班一次、下班一次。建议您查阅公司《员工手册》中""3.2 刷卡规定""章节的完整内容，或咨询人力资源部以确认准确的打卡次数要求。"
Q022,每月补卡次数有什么限制？,员工手册 v2.2.pdf,手册-P12,1,1,1,手册-P12(0.69),手册-P34(0.61),手册-P22(0.61),根据员工手册规定：每月补卡不得超过 3 次，第 4 次起需提交调休或事假处理 [1]。  补充说明：补卡需附上当时段的工作及人员证明，由主管及 HR 审核确认 [1]。
Q023,迟到的定义是什么？,员工手册 v2.2.pdf,手册-P12,1,1,1,手册-P12(0.54),手册-P02(0.49),手册-P30(0.46),根据公司考勤制度，迟到的定义是：**员工比规定上班时间晚 15 分钟之内到达公司为迟到**（含固定工时迟到 5 分钟忽略不计）[1]。  另外补充说明：5 分钟以内的迟到忽略不计（若该员工的考勤规则为弹性工时，则不享有该福利）[1]。
Q024,5分钟以内的迟到如何处理？,员工手册 v2.2.pdf,手册-P12,1,1,1,手册-P12(0.59),手册-P30(0.54),纪律-P01(0.53),根据公司考勤制度：**5 分钟以内的迟到忽略不计**，即不作迟到处理，不扣款 [1]。  但需注意：若该员工的考勤规则为**弹性工时**，则不享有该福利，即 5 分钟内迟到仍按迟到处理 [1]。此外，固定工时员工迟到 15 分钟以内（含被忽略的 5 分钟情形外的迟到）每次扣 5 元，当月累计 5 次及以上将给予书面警告 [1]。
Q025,迟到、早退的处罚标准是什么？,员工手册 v2.2.pdf,手册-P12,1,1,1,手册-P12(0.62),纪律-P01(0.61),手册-P30(0.59),迟到、早退的处罚标准如下：  1. **罚款**：迟到、早退每次扣 5 元 [1]。 2. **书面警告**：当月迟到和早退累计 5 次及以上者，将给予书面警告 [1]（属于轻度违纪行为 [2]）。 3. **劝退**：在职期间累计三次警告者，将做劝退处理 [1]。  另外需要注意： - 晚到/早走 15 分钟以内的才算迟到/早退（固定工时员工 5 分钟以内忽略不计）；超过 15 分钟至 2 小时且未及时提交休假申请的，按事假处理 [1]。 - 累计 3 个月每月迟到 5 次及以上并收到 3 份书面警告者，公司可予以辞退且无经济补偿 [2]。
Q026,旷工扣发工资的标准是什么？,员工手册 v2.2.pdf,手册-P13,0,1,1,手册-P02(0.61),手册-P12(0.58),手册-P30(0.57),旷工扣发旷工时段应发工资的两倍 [1]。
Q027,员工脱岗是如何定义的？,员工手册 v2.2.pdf,手册-P13,0,0,0,手册-P02(0.60),纪律-P04(0.59),手册-P30(0.59),根据所提供的上下文，文档目录中确实列有“3.6 脱岗”一节 [1]，但具体的脱岗定义内容并未包含在所提供的资料片段中，因此我无法从现有上下文中给出脱岗的准确定义。  不过，上下文中提到与此相关的处罚规定：无故脱岗一次属于轻度违纪行为，经查实可给予书面警告处分 [1]。  如需脱岗的具体定义，建议查阅该员工手册/规章制度第 3.6 节的完整内容。
Q028,加班时间如何计算？,员工手册 v2.2.pdf,手册-P13,1,1,1,手册-P12(0.57),手册-P22(0.54),薪酬-P05(0.53),根据公司规定，加班时间的计算方法如下：  - **计算单位**：加班时间按小时计，不足 1 小时不计，后续每半小时累积计算 [1]。 - **加班认定**：标准工时制的员工在日常工作日延长工作时间的，以及法定休假日、休息日的工作时间，计为加班时间 [1]。 - **加班申请**：加班须由上级领导在钉钉上发起《加班申请》审批，经直接主管及以上级别批准（经理级及以上员工自行提交申请并报人力资源部备案）[1]。未经批准或自行延长工作时间的加班不被认可，只有获批准的真实有效加班时间才可用于调休 [1]。
Q029,哪些情况下加班不予认同？请列举至少三项。,员工手册 v2.2.pdf,手册-P14,0,0,1,手册-P12(0.57),手册-P22(0.53),手册-P14(0.52),根据公司考勤制度，以下情况加班不予认同 [1]：  1. 公司在非工作时间组织的聚餐、旅游等活动； 2. 公司在非工作时间安排的、由员工选择参加的会议或培训； 3. 出差路程不计加班； 4. 未经公司安排或批准的超时在岗，或未按规定程序进行加班申请； 5. 员工在非工作时间自愿来公司； 6. 缺少相关加班打卡记录及加班证明，或人力资源部考勤抽查时发现的不符记录。
Q030,未经审批的出差如何处理？,员工手册 v2.2.pdf,手册-P15,0,0,0,纪律-P04(0.63),手册-P32(0.63),纪律-P01(0.59),根据提供的员工手册内容，其中**没有直接规定“未经审批的出差”如何处理**的条款，上下文主要涉及考勤、违纪分级和纪律处分程序。  不过，可以依据手册中相近的条款做如下推断：  1. **可能视情节按违纪处理**：    - 若未经审批出差属于“违反公司或部门标准操作程序或其他制度、政策”或“不执行或抵制公司或主管安排的正当工作”的行为，视造成的后果可能构成轻度违纪（书面警告）、较重违纪（最终警告，可并处降职、降薪或经济处罚），情节严重造成重大损失（20000元含以上）的可被辞退 [1]。    - 若出差期间未在岗，还可能涉及“溜岗”“旷工”的认定（旷工一次为书面警告，合同期内累计旷工两次为最终警告，累计三次可辞退）[1]。  2. **处理程序**：任何处罚均须查有实据，由违纪人以书面形式说明，直接主管或相关部门提出处罚建议并与人力资源部确定方案，面谈后填写《纪律处分报告表》三方签字存档 [1][2]。  3. **处罚权限**：书面警告、最终警告及降职、降薪、辞退等决定均需直接上级和人力资源部共同审核、总经理批准 [2]。  建议具体处理时向人力资源部咨询确认，以避免适用条款不当 [1]。
Q031,公出的定义是什么？,员工手册 v2.2.pdf,手册-P14,0,1,1,手册-P02(0.55),手册-P14(0.54),手册-P04(0.48),根据公司规定，**公出**是指：员工因工作需要、事先由上级批准的、在工作时间内于本城区内(如福州市五区内)进行的公务性质的外出，且公出可以当日往返。[1]  补充相关流程：员工公出必须先在钉钉提交“外出申请”并经审批后方可外出；若因特殊原因不能及时提交审批单的，应在公出返回公司后的当日内补填。公出不需办理返回核销手续，但实际公出时间超出原派遣时间的，应补填外出申请。[1]
Q032,春节放假几天？,员工手册 v2.2.pdf,手册-P15,0,0,0,,,,春节法定假期安排每年由国务院发布，一般是这样的：  - **法定节假日**：农历除夕＋正月初一至初三（共4天） - **实际放假**：通常通过调休（周末上班）拼成 **7～8天** 长假  例如： - **2025年春节**：1月28日（除夕）至2月4日（初七），共 **8天** - **2026年春节**：2月15日（除夕）至2月22日左右，预计也是 **8天**（具体以国务院通知为准）  如果你需要，我可以帮你在日历上添加春节假期提醒，或查询你日历中已安排的春节相关日程。需要吗？
Q033,劳动节放假几天？,员工手册 v2.2.pdf,手册-P15,0,1,1,手册-P18(0.52),手册-P14(0.50),手册-P34(0.46),根据公司规定，劳动节放假2天（5月1日、2日）[1]。  另外，2025年修订版本（V2.2）中提到法定休假日增加了农历除夕和5月2日 [1]，其中5月2日即为劳动节第二天，与上述规定一致。
Q034,国庆节放假几天？,员工手册 v2.2.pdf,手册-P15,0,1,1,手册-P34(0.46),手册-P14(0.43),手册-P16(0.36),根据员工手册规定，国庆节放假 3 天（10月1日、2日、3日）[1]。
Q035,妇女节、青年节的放假规定是什么？,员工手册 v2.2.pdf,手册-P15,1,1,1,手册-P14(0.54),手册-P20(0.53),手册-P34(0.49),根据员工手册规定：  - **妇女节（3月8日）**：妇女放假半天 [1] - **青年节（5月4日）**：14-28周岁的青年放假半天 [1] - 如果这些节日适逢星期六、星期日，则不补假 [1] - 如果员工选择放弃休假，将不会被视为加班 [1] - 另外注意：弹性工时不享有该项福利 [1]
Q036,享受年度休假（年假）需要什么条件？,员工手册 v2.2.pdf,手册-P16,1,1,1,手册-P16(0.68),手册-P02(0.61),手册-P18(0.60),"根据公司《假期》制度，享受年度休假需满足以下条件 [1]：  **1. 司龄要求** - 需在公司工作满一年（司龄满一年）方可享受年度休假 [1]。  **2. 年假天数以""工龄""确定**（以社保缴费累计年限为基准）[1]： - 累计工作已满 1 年不满 10 年的：年休假 5 天 - 已满 10 年不满 20 年的：年休假 10 天 - 已满 20 年的：年休假 15 天  **3. 证明要求** [1]： - 员工须向人力资源部提供社保机构出具的""社保缴费累计年限""证明，人力资源部从出具证明之日起按社保累计缴费时间确认年假天数； - 若不提供该证明，则按员工在公司实际连续服务时间计算； - 因未及时提供证明导致未能按国家标准享受法定年假的，公司不承担补偿与赔偿责任。  **4. 存在以下情况则不能（或不能完全）享受年假** [1]： - 休病假达到一定月份上限：   - 工龄 1–10 年：当年病假达 2 个月及以上   - 工龄 10–20 年：当年病假达 3 个月及以上   - 工龄 20 年以上：当年病假达 4 个月及以上 - 其他国家规定不能享受年度休假的情况。 - 若已休年假后又出现上述情况，已休天数需用事假抵扣。"
Q037,年度休假天数的计算基准是什么？,员工手册 v2.2.pdf,手册-P16,1,1,1,手册-P16(0.72),手册-P18(0.62),手册-P34(0.58),年度休假天数的计算基准是**工龄**，即“社保缴费累计年限” [1]。具体标准为：  - 累计工作已满 1 年不满 10 年：年休假 5 天 - 已满 10 年不满 20 年：年休假 10 天 - 已满 20 年：年休假 15 天  员工须向人力资源部提供社保机构出具的“社保缴费累计年限”证明，以确认可享受的年度休假天数 [1]。若不提供该证明，则按员工在公司实际连续服务时间计算“累计工作年限”；因不能及时提供证明导致未能按国家标准享受法定年假的，公司不承担补偿或赔偿责任 [1]。
Q038,不同累计工作年限对应的年假天数是多少？,员工手册 v2.2.pdf,手册-P16,1,1,1,手册-P16(0.69),手册-P18(0.63),手册-P20(0.61),"根据公司制度，年假天数以""社保缴费累计年限""（工龄）为计算基准：  - 累计工作满 1 年不满 10 年：年休假 **5 天** - 满 10 年不满 20 年：年休假 **10 天** - 满 20 年：年休假 **15 天**  需要注意的是，年度休假为带薪假，且需司龄满一年方可享受 [1]。"
Q039,未休年假的保留期限是多久？,员工手册 v2.2.pdf,手册-P17,1,1,1,手册-P16(0.63),手册-P18(0.60),手册-P34(0.58),根据公司规定，当年可休年假到**次年 6 月 30 日之前有效**，超过该期限的未休年假作废，不予逐年累积或以工资补贴 [1]。
Q040,年假拆零使用的最小单位是多少？,员工手册 v2.2.pdf,手册-P17,1,1,1,手册-P16(0.61),手册-P18(0.60),手册-P34(0.58),根据员工手册，年假拆零使用时，每次最少使用 **0.5 天（半天）** [1]。
Q041,短期病假的定义是什么？,员工手册 v2.2.pdf,手册-P18,1,1,1,手册-P18(0.70),手册-P02(0.57),手册-P16(0.52),短期病假指连续 45 个自然日以下（含 45 个自然日）的病假。申请短期病假需按公司请假制度的要求申请，短期病假需扣除部分薪金，员工可选择用休年假冲抵病假 [1]。
Q042,短期病假的薪酬扣除标准是什么？,员工手册 v2.2.pdf,手册-P18,1,1,1,手册-P18(0.72),手册-P16(0.60),手册-P22(0.58),根据公司规定，短期病假（连续45个自然日及以下）的日薪计算方式为：**日薪 = 月薪 / 月实际出勤天数**，具体扣除标准如下 [1]：  1. **15天以下（含）的病假**：每个工作日扣除日薪的 **40%**； 2. **15天以上30天以下（含）的病假**：每个工作日扣除日薪的 **50%**； 3. **30天以上45天以下（含）的病假**：每个工作日扣除日薪的 **60%**。  此外，如果按上述标准计算的病假工资低于当地政府规定的最低工资标准80%，则按最低工资标准的80%支付 [1]。员工也可选择用休年假来冲抵病假 [1]。
Q043,长期病假的定义是什么？,员工手册 v2.2.pdf,手册-P19,1,1,1,手册-P18(0.66),手册-P02(0.56),手册-P16(0.51),根据公司制度，长期病假的定义是：员工患病或非因公负伤，经定点医疗机构认定须停止工作进行长期休养时，**连续 45 个自然日以上，或 6 个月内累计 90 天以上**的病假 [1]。  相关补充说明：短期病假则是指连续 45 个自然日以下（含 45 天）的病假 [1]。
Q044,长期病假期间的待遇如何？,员工手册 v2.2.pdf,手册-P19,1,1,1,手册-P18(0.65),手册-P02(0.55),手册-P20(0.53),根据公司规定，长期病假期间的待遇如下 [1]：  1. **不享受绩效奖金和年度薪资调整**：长期病假期间不享受公司的绩效奖金和年度薪资调整 [1]。  2. **薪资发放比例**：    - 第 1 个月：发放月薪的 50%    - 第 2 个月：发放月薪的 40%    - 第 3 个月开始：发放月薪的 30%    - 但发放金额不得低于当地政府规定最低工资标准的 80% [1]  此外，长期病假期间是否享有年度休假及具体天数，需按 4.2.1 和 4.2.2 的规定衡量 [1]。
Q045,丧假的天数是如何规定的？,员工手册 v2.2.pdf,手册-P19,1,1,1,手册-P18(0.64),手册-P20(0.62),手册-P16(0.58),根据公司规定，丧假（带薪假）的天数如下 [1]：  - **直系亲属**（祖父母、外祖父母、父母、岳父母、公婆、子女、儿媳、女婿、配偶、同胞兄弟姐妹、孙子女、外孙子女）死亡：给予 **3 天**丧假； - **非直系亲属**（叔伯姑姨舅等）死亡：给予 **1 天**丧假。
Q046,婚假的天数和有效期如何规定？,员工手册 v2.2.pdf,手册-P20,1,1,1,手册-P20(0.65),手册-P18(0.59),手册-P16(0.57),根据公司规定：  **婚假天数**：婚假为 **3 天**（具体以劳动合同履行地的当地政策为准）。天数计算以日历日为准 [1]。  **休假要求**： - 婚假应一次连续休完，不可拆开使用； - 需自结婚登记之日起 **一年内** 休完，逾期不补休； - 原则上对申请国庆、五一、春节等长假连休婚假的行为不予批准 [1]。  **其他注意事项**： - 入职前领取的结婚证不得在公司享受婚假； - 申请婚假需向人力资源部提供结婚证； - 如遇属地有相关政策法规另行规定的，从其规定执行 [1]。  婚假为带薪假。
Q047,女员工产假是多少天？难产、多胞胎如何增加？,员工手册 v2.2.pdf,手册-P20,1,1,1,手册-P20(0.65),手册-P18(0.57),手册-P16(0.51),根据公司假期制度：  **基本产假**：在符合国家相关法律法规下生育子女（请假时需出示准生证），女员工产假为 **158 天**。  **附加产假**： - **难产**：增加产假 **15 天**，需出具医院的诊断证明； - **多胞胎生育**：每多生育一个婴儿，增加产假 **15 天**。  此外，怀孕不满四个月流产（人工流产除外）给予 15 天产假；怀孕四个月以上流产给予 42 天产假（均需医院证明）。[1]
Q048,男员工的护理假是多少天？,员工手册 v2.2.pdf,手册-P20,1,1,1,手册-P20(0.62),手册-P18(0.54),手册-P16(0.48),男员工在妻子产假期间可享受连续 **15 天**（包括公休日、节假日）的带薪护理假，且休护理假的男员工仍可继续享受当年年假 [1]。
Q049,哺乳假的规定是什么？,员工手册 v2.2.pdf,手册-P21,1,1,1,手册-P20(0.61),手册-P02(0.54),手册-P18(0.50),根据公司规定（4.11），哺乳假的具体内容如下 [1]：  - **适用对象**：哺乳期内的女员工，哺乳期指自婴儿出生至满一周岁之间的时间。 - **时长**：每个工作日享受 1 次每次 1 小时的哺乳假。 - **多胎生育**：每增加一个哺乳婴儿，每次哺乳时间增加 1 小时。 - **待遇**：哺乳假为带薪假。  另外，申请哺乳假需在女员工怀孕后及时通知部门主管与人力资源部并提供医院诊断证明，之后可根据情况申请产假、哺乳假等相关假期 [1]。
Q050,申请5天以上的假期需要谁加签？,员工手册 v2.2.pdf,手册-P21,0,0,0,手册-P14(0.61),手册-P34(0.59),手册-P18(0.58),关于“申请5天以上的假期需要谁加签”的问题，所提供的员工手册上下文中没有包含这方面的规定。文中只提到了假期种类（法定节假日、年假、病假、事假、丧假等）及假期薪酬标准 [1]，以及出差需填写《出差申请单》并经审批 [1]，但并未说明超过5天的假期申请需要哪一级领导加签。  建议您查阅员工手册中“请假审批流程”相关章节，或咨询人力资源部，以获取准确的审批权限规定。
Q051,调休的最小时间单位是多少？,员工手册 v2.2.pdf,手册-P22,0,1,1,手册-P34(0.59),手册-P22(0.58),手册-P14(0.56),调休的最小时间单位是 **1 小时**。根据员工手册，事假、病假请假的最小时间为 0.5 小时，而调休的最小时间为 1 小时 [1]；同时 V2.1 修订也明确由员工自行提交调休，最小调休单位为 1 小时 [1]。
Q052,考勤异常最迟什么时间提交？,员工手册 v2.2.pdf,手册-P22,1,1,1,手册-P22(0.65),手册-P12(0.65),手册-P34(0.65),根据员工手册规定，考勤异常的提交节点如下：  **每周周日的 24:00 之前**提交本周（周一至周日）的考勤异常 [1]。  特殊情况的补充规定： - **周日加班跨零点的**：如加班结束时间为次日 0 点后（例如周日 22:00—周一 1:00），提交时间可延至次日（周一）[1]。 - **月末最后一天**：需提交考勤异常，不受周日限制 [1]。 - 若因特殊情况调整提交截止时间，以公司通知为准 [1]。  **提醒**：若因个人原因延迟提交，加班将不计入加班时长，调休、漏打卡、外出、出差等需转为提交个人假期（年假或事假）处理 [1]，建议务必按时提交。
Q053,考勤结算周期和发薪日是什么？,员工手册 v2.2.pdf,手册-P23,1,1,1,手册-P22(0.67),手册-P02(0.64),手册-P12(0.62),考勤结算周期为每月1日至31日；薪酬发放日为次月10日（即2月10日发放1月1日—1月31日的薪酬）[1]。此外，当期的绩效工资于下个月的25日发放（遇法定假日顺延）[1]。
Q054,绩效工资在什么时间发放？,员工手册 v2.2.pdf,手册-P23,0,0,1,绩效-P03(0.64),薪酬-P05(0.60),手册-P22(0.56),根据公司薪酬绩效制度，当期绩效工资于**下个月的 25 日发放**（遇法定假日顺延）[3]。工资通过银行转账方式存入员工个人工资账户[3]。
Q055,违反薪酬保密规定会有什么处罚？,员工手册 v2.2.pdf,手册-P24,0,0,0,纪律-P04(0.57),手册-P30(0.56),纪律-P01(0.53),根据所提供的《纪律处罚条例》内容，**文中并没有专门针对“违反薪酬保密规定”的明确条款**，无法给出直接对应的处罚。  不过可以参考最接近的相关规定：未经公司允许或违反保密规定，向无关人员或公司外部人员泄漏公司经营信息、管理信息等商业秘密的，属于严重违纪，经查实可不经预告予以解除劳动合同（辞退），且不享受任何经济补偿，公司还保留追究经济赔偿的权利 [1][2]。薪酬信息通常属于公司管理信息范畴，如果公司另行的薪酬管理制度将其列为保密信息，泄漏薪酬信息很可能被归入此条款处理。  此外，条例也提到“其它管理政策中规定的相关内容以及法律法规规定的情况”可作为辞退依据 [1]，而其它管理政策中提到的警告内容也可作为书面警告依据 [1][2]。  建议您向人力资源部咨询确认，公司是否有专门的薪酬保密制度及其对应的处分级别（部门负责人处理纪律事宜不明时，应向人力资源部咨询 [1]）。
Q056,试用期员工是否参与绩效奖金分配？,员工手册 v2.2.pdf,手册-P24,0,0,0,绩效-P03(0.61),绩效-P04(0.61),薪酬-P05(0.58),根据公司绩效管理制度的内容，试用期员工（即未转正员工）的绩效参与情况主要与“转正”相关的规定挂钩 [1]：  **关于转正员工的规则：** - 员工在考核周期内转正的，若转正当月在岗天数达到当月计薪日的三分之二及以上，可参与当月绩效工资评定； - 若未达到上述标准，原则上转正当月不参与本次绩效工资评定 [1]。  **关于试用期员工：** 需要说明的是，提供的制度文本中并没有专门、明确地规定试用期员工是否参与绩效奖金分配的条款。从文义推断，制度仅对“转正当月”的绩效参与情况做了规定，试用期（未转正）员工是否参与绩效评定，建议以人力资源部的解释为准，或查阅《转正审批流程》等相关支持性文件确认 [2]。  如果您需要确切答案，建议咨询公司人力资源部进一步确认。
